Rk,Year,Date,Age,Result,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk
1,2018,2018-09-09,22.111,L 3-47,6,15,40,74,0,0,56,3
2,2018,2018-09-16,22.118,L 20-31,18,33,54.55,245,1,2,63.3,5
3,2018,2018-09-23,22.125,W 27-6,15,22,68.18,196,1,0,111.2,3
4,2018,2018-09-30,22.132,L 0-22,16,33,48.48,151,0,2,36.3,7
5,2018,2018-10-07,22.139,W 13-12,10,19,52.63,82,0,1,42,1
6,2018,2018-10-14,22.146,L 13-20,10,17,58.82,84,0,0,71.7,2
12,2018,2018-12-02,22.195,L 17-21,18,33,54.55,231,2,2,71.7,2
11,2018,2018-11-25,22.188,W 24-21,8,19,42.11,160,1,0,89.8,0
13,2018,2018-12-09,22.202,L 23-27,18,36,50,206,0,2,44.4,3
14,2018,2018-12-16,22.209,W 14-13,13,26,50,204,1,0,89.3,1
15,2018,2018-12-23,22.216,L 12-24,20,41,48.78,217,1,2,52.6,0
16,2018,2018-12-30,22.223,W 42-17,17,26,65.38,224,3,1,114.9,1
17,2019,2019-09-08,23.11,W 17-16,24,37,64.86,254,1,2,71.2,1
18,2019,2019-09-15,23.117,W 28-14,19,30,63.33,253,1,0,101.1,3
19,2019,2019-09-22,23.124,W 21-17,23,36,63.89,243,1,1,81.1,1
20,2019,2019-09-29,23.131,L 10-16,13,28,46.43,153,0,3,24,4
21,2019,2019-10-06,23.138,W 14-7,23,32,71.88,219,2,1,98.3,4
22,2019,2019-10-20,23.152,W 31-21,16,26,61.54,202,2,0,111.4,2
23,2019,2019-10-27,23.159,L 13-31,16,34,47.06,169,2,0,81.6,4
24,2019,2019-11-03,23.166,W 24-9,14,20,70,160,1,0,110.4,2
25,2019,2019-11-10,23.173,L 16-19,22,41,53.66,266,0,0,73.8,1
26,2019,2019-11-17,23.18,W 37-20,21,33,63.64,256,3,0,117.7,0
27,2019,2019-11-24,23.187,W 20-3,15,25,60,185,2,1,92.9,1
28,2019,2019-11-28,23.191,W 26-15,19,24,79.17,231,1,0,120.7,4
29,2019,2019-12-08,23.201,L 17-24,17,39,43.59,146,1,0,62.6,6
30,2019,2019-12-15,23.208,W 17-10,13,25,52,139,1,1,65.2,1
31,2019,2019-12-21,23.214,L 17-24,13,26,50,208,2,0,102.7,4
32,2019,2019-12-29,23.222,L 6-13,3,5,60,5,0,0,64.6,0
33,2020,2020-09-13,24.115,W 27-17,33,46,71.74,312,2,0,104.6,3
34,2020,2020-09-20,24.122,W 31-28,24,35,68.57,415,4,0,146.7,1
35,2020,2020-09-27,24.129,W 35-32,24,33,72.73,311,4,1,128.9,4
36,2020,2020-10-04,24.136,W 30-23,24,34,70.59,288,2,0,115.8,1
37,2020,2020-10-13,24.145,L 16-42,26,41,63.41,263,2,2,77.6,1
38,2020,2020-10-19,24.151,L 17-26,14,27,51.85,122,2,1,73.4,0
39,2020,2020-10-25,24.157,W 18-10,30,43,69.77,307,0,0,90,2
40,2020,2020-11-01,24.164,W 24-21,11,18,61.11,154,0,1,65.5,1
41,2020,2020-11-08,24.171,W 44-34,31,38,81.58,415,3,0,138.5,7
42,2020,2020-11-15,24.178,L 30-32,32,49,65.31,284,2,2,77.3,0
43,2020,2020-11-29,24.192,W 27-17,18,24,75,157,1,1,88.4,2
44,2020,2020-12-07,24.2,W 34-24,32,40,80,375,4,0,139.1,1
45,2020,2020-12-13,24.206,W 26-15,24,43,55.81,238,2,1,77.5,1
46,2020,2020-12-19,24.212,W 48-19,28,40,70,359,2,0,114.5,1
47,2020,2020-12-28,24.221,W 38-9,27,36,75,320,4,0,138.7,0
48,2020,2021-01-03,24.227,W 56-26,18,25,72,224,3,1,122.3,1
49,2021,2021-09-12,25.114,L 16-23,30,51,58.82,270,1,0,79.7,3
50,2021,2021-09-19,25.121,W 35-0,17,33,51.52,179,2,1,75.2,1
51,2021,2021-09-26,25.128,W 43-21,32,43,74.42,358,4,0,129.8,0
52,2021,2021-10-03,25.135,W 40-0,20,30,66.67,248,2,1,100.4,1
53,2021,2021-10-10,25.142,W 38-20,15,26,57.69,315,3,0,139.1,0
54,2021,2021-10-18,25.15,L 31-34,35,47,74.47,353,3,1,107.8,3
55,2021,2021-10-31,25.163,W 26-11,29,42,69.05,249,2,0,100.2,0
56,2021,2021-11-07,25.17,L 6-9,31,47,65.96,264,0,2,62.7,4
57,2021,2021-11-14,25.177,W 45-17,21,28,75,366,2,1,125.6,2
58,2021,2021-11-21,25.184,L 15-41,21,35,60,209,2,2,72.2,1
59,2021,2021-11-25,25.188,W 31-6,23,28,82.14,260,4,2,115.2,2
60,2021,2021-12-06,25.199,L 10-14,15,30,50,145,1,0,75,2
61,2021,2021-12-12,25.205,L 27-33,36,54,66.67,308,2,1,86,3
62,2021,2021-12-19,25.212,W 31-14,19,34,55.88,210,3,1,91.5,4
63,2021,2021-12-26,25.219,W 33-21,30,47,63.83,314,3,0,104.4,0
64,2021,2022-01-02,25.226,W 29-15,11,26,42.31,120,0,3,17,0
65,2021,2022-01-09,25.233,W 27-10,24,45,53.33,239,2,0,83.5,0
66,2022,2022-09-08,26.11,W 31-10,26,31,83.87,297,3,2,112,2
67,2022,2022-09-19,26.121,W 41-7,26,38,68.42,317,4,0,128.9,1
68,2022,2022-09-25,26.127,L 19-21,42,63,66.67,400,2,0,94.7,4
69,2022,2022-10-02,26.134,W 23-20,19,36,52.78,213,1,1,68.4,1
70,2022,2022-10-09,26.141,W 38-3,20,31,64.52,424,4,1,134.1,0
71,2022,2022-10-16,26.148,W 24-20,27,40,67.5,329,3,0,117.6,1
72,2022,2022-10-30,26.162,W 27-17,13,25,52,218,2,2,75.1,2
73,2022,2022-11-06,26.169,L 17-20,18,34,52.94,205,0,2,46.8,5
74,2022,2022-11-13,26.176,L 30-33,29,43,67.44,330,1,2,78.6,2
75,2022,2022-11-20,26.183,W 31-23,18,27,66.67,197,1,0,100.4,2
76,2022,2022-11-24,26.187,W 28-25,24,42,57.14,253,2,1,80.8,3
77,2022,2022-12-01,26.194,W 24-10,22,33,66.67,223,2,0,106,2
78,2022,2022-12-11,26.204,W 20-12,16,27,59.26,147,1,0,86.5,3
79,2022,2022-12-17,26.21,W 32-29,25,40,62.5,304,4,0,119.2,2
80,2022,2022-12-24,26.217,W 35-13,15,26,57.69,172,2,2,71.3,1
81,2022,2023-01-08,26.232,W 35-23,19,31,61.29,254,3,1,106.1,2
82,2023,2023-09-11,27.113,L 16-22,29,41,70.73,236,1,3,62.7,5
83,2023,2023-09-17,27.119,W 38-10,31,37,83.78,274,3,0,124.5,2
84,2023,2023-09-24,27.126,W 37-3,20,32,62.5,218,1,1,79.9,0
85,2023,2023-10-01,27.133,W 48-20,21,25,84,320,4,0,158.3,2
86,2023,2023-10-08,27.14,L 20-25,27,40,67.5,359,2,1,102,0
87,2023,2023-10-15,27.147,W 14-9,19,30,63.33,169,2,1,86.7,0
88,2023,2023-10-22,27.154,L 25-29,27,41,65.85,265,2,1,90,1
89,2023,2023-10-26,27.158,W 24-18,31,40,77.5,324,2,1,106.7,2
90,2023,2023-11-05,27.168,L 18-24,26,38,68.42,258,1,1,85.2,1
91,2023,2023-11-13,27.176,L 22-24,15,26,57.69,177,1,2,59.3,0
92,2023,2023-11-19,27.182,W 32-6,20,32,62.5,275,3,1,108.2,1
93,2023,2023-11-26,27.189,L 34-37,29,51,56.86,339,2,1,82.1,1
94,2023,2023-12-10,27.203,W 20-17,23,42,54.76,233,1,1,68.8,3
95,2023,2023-12-17,27.21,W 31-10,7,15,46.67,94,1,0,89.3,1
96,2023,2023-12-23,27.216,W 24-22,15,21,71.43,237,1,1,104.7,1
97,2023,2023-12-31,27.224,W 27-21,15,30,50,169,0,1,53.3,1
98,2023,2024-01-07,27.231,W 21-14,30,38,78.95,359,2,2,101.6,3
99,2024,2024-09-08,28.11,W 34-28,18,23,78.26,232,2,0,137.7,2
100,2024,2024-09-12,28.114,W 31-10,13,19,68.42,139,1,0,107.1,0
101,2024,2024-09-23,28.125,W 47-10,23,30,76.67,263,4,0,142.1,0
102,2024,2024-09-29,28.131,L 10-35,16,29,55.17,180,0,0,73.9,3
103,2024,2024-10-06,28.138,L 20-23,9,30,30,131,1,0,56.4,1
104,2024,2024-10-14,28.146,W 23-20,19,25,76,215,2,0,127.9,2
105,2024,2024-10-20,28.152,W 34-10,21,33,63.64,323,2,0,116.1,1
106,2024,2024-10-27,28.159,W 31-10,24,34,70.59,283,2,1,102.9,1
107,2024,2024-11-03,28.166,W 30-27,25,39,64.1,235,3,1,95.6,1
